condition,county,cylinders,fuel,drive,Suma de id,manufacturer,model,Suma de odometer,Suma de price,size,title_status,transmission,type,VIN,Suma de year
excellent,United states,10 cylinders,gas,rwd,7314833966,ram,1500,21541,1,full-size,clean,automatic,truck,1C6RR6ST0JS166104,2018
excellent,United states,10 cylinders,gas,rwd,14627364192,ram,2500,275336,21900,full-size,clean,automatic,truck,3B7KC26W41M282987,4002
excellent,United states,10 cylinders,gas,rwd,58443630352,toyota,rav4,546712,8,full-size,clean,automatic,SUV,JTMZFREV7GD087445,16128
excellent,United states,12 cylinders,gas,fwd,7314791922,mercedes-benz,benz 600 sel,59100,20590,full-size,clean,automatic,sedan,WDBGA57E2NA057181,1992
excellent,United states,12 cylinders,gas,rwd,7315978079,bmw,750il,106000,9500,full-size,clean,automatic,sedan,WBAGC8324PDC81594,1993
excellent,United states,12 cylinders,gas,rwd,7314867630,jaguar,xjs v-12 convertible,53010,9980,full-size,clean,automatic,convertible,SAJNV4849KC157647,1989
excellent,United states,12 cylinders,gas,rwd,7314670097,mercedes-benz,600 sel,75000,3500,full-size,clean,automatic,sedan,WDB1400571A023127,1992
excellent,United states,3 cylinders,gas,4wd,36563213169,bmw,i8,178675,5,mid-size,clean,other,coupe,WBY2Z2C33HV676908,10085
excellent,United states,3 cylinders,gas,4wd,21945974549,chevrolet,trailblazer,7878,98700,full-size,clean,automatic,SUV,KL79MRSL3MB059512,6063
excellent,United states,3 cylinders,gas,4wd,7316779894,ford,escape,2022,28223,mid-size,clean,automatic,SUV,1FMCU9G62MUA13326,2021
excellent,United states,3 cylinders,gas,4wd,7314475980,subaru,forester,90466,15999,mid-size,clean,automatic,SUV,JF2SJABC7JH402122,2018
excellent,United states,3 cylinders,gas,fwd,7316921631,buick,encore gx,2528,18480,compact,clean,automatic,SUV,KL4MMBS21LB129402,2020
excellent,United states,3 cylinders,gas,fwd,7313410078,ford,ecosport,19099,18295,compact,clean,automatic,wagon,MAJ3P1TE3JC168632,2018
excellent,United states,3 cylinders,gas,fwd,7305156781,ford,fiesta se,75300,5800,compact,lien,manual,hatchback,3FADP4EE3EM212944,2014
excellent,United states,3 cylinders,gas,fwd,7316739290,ford,fiesta sfe,117850,5990,compact,clean,manual,sedan,3FADP4BE3GM166393,2016
excellent,United states,3 cylinders,gas,fwd,7313034050,ford,focus,68004,10880,compact,clean,automatic,sedan,1FADP3FE2HL317263,2017
excellent,United states,3 cylinders,gas,fwd,7306696334,ford,focus,67241,10999,mid-size,clean,automatic,sedan,1FADP3FE4JL236254,2018
excellent,United states,3 cylinders,gas,fwd,7316487101,honda,accord lx,1,7500,compact,clean,automatic,sedan,1HGCP26339A125797,2009
excellent,United states,3 cylinders,gas,fwd,7312930308,hyundai,sonata,87548,10999,mid-size,clean,automatic,sedan,5NPEC4AB8CH356417,2012
excellent,United states,3 cylinders,gas,fwd,7313044934,mini,cooper hardtop,62130,14595,compact,clean,automatic,hatchback,WMWXM5C53FT939073,2015
excellent,United states,3 cylinders,gas,fwd,7311561145,mitsubishi,mirage,56109,6900,compact,rebuilt,automatic,hatchback,ML32A3HJ6FH050743,2015
excellent,United states,3 cylinders,gas,fwd,7316853224,mitsubishi,mirage,45000,9995,sub-compact,clean,automatic,sedan,ML32A4HJ1HH010482,2017
excellent,United states,3 cylinders,gas,fwd,7313160982,mitsubishi,mirage,31382,7900,sub-compact,clean,automatic,sedan,ML32A4HJ6FH060050,2015
excellent,United states,3 cylinders,gas,fwd,7315304212,mitsubishi,mirage es,50583,8800,mid-size,clean,automatic,hatchback,ML32A3HJ4HH017694,2017
excellent,United states,3 cylinders,gas,fwd,7315399237,mitsubishi,mirage es,50583,8800,sub-compact,clean,automatic,hatchback,ML32A3HJ4HH017694,2017
excellent,United states,3 cylinders,gas,fwd,7315258440,mitsubishi,mirage es,50583,8800,sub-compact,clean,manual,hatchback,ML32A3HJ4HH017694,2017
excellent,United states,3 cylinders,gas,fwd,7310940637,mitsubishi,mirage g4,86772,8995,sub-compact,clean,automatic,sedan,ML32F3FJ8HHF15386,2017
excellent,United states,3 cylinders,gas,fwd,7316610782,mitsubishi,mirage g4 es,44274,6540,compact,clean,automatic,sedan,ML32F3FJ1HH000453,2017
excellent,United states,3 cylinders,gas,fwd,14622639732,mitsubishi,mirage g4 se,51734,21994,mid-size,clean,automatic,sedan,ML32F4FJXHHF18814,4034
excellent,United states,3 cylinders,gas,fwd,7310024762,mitsubishi,mirage le hatchback,14800,10000,compact,clean,automatic,hatchback,ML32A5HJ7KH016249,2019
excellent,United states,3 cylinders,gas,fwd,7314113996,nissan,versa,88000,4499,full-size,clean,automatic,hatchback,3N1BC13E17L451953,2007
excellent,United states,3 cylinders,gas,fwd,7311466900,volvo,v50 t5,100000,6695,compact,clean,automatic,wagon,YV1672MW1B2613231,2011
excellent,United states,3 cylinders,gas,rwd,14630143000,chevrolet,trailblazer,36640,55800,full-size,clean,automatic,SUV,KL79MPSL7MB004887,4042
excellent,United states,4 cylinders,diesel,4wd,7311527192,bmw,3 series 328d xdrive awd,91702,13499,full-size,clean,automatic,sedan,WBA3D5C54EKX97027,2014
excellent,United states,4 cylinders,diesel,4wd,7302969177,bmw,328d xdrive awd,157750,14000,mid-size,clean,automatic,sedan,WBAPH7G52BNM55047,2014
excellent,United states,4 cylinders,diesel,4wd,7316231273,jeep,liberty,173098,8500,full-size,clean,automatic,SUV,1J4GL48525W680849,2005
excellent,United states,4 cylinders,diesel,4wd,7316241051,jeep,liberty diesel,173097,8500,full-size,clean,automatic,SUV,1J4GL48525W680849,2005
excellent,United states,4 cylinders,diesel,4wd,7312680499,toyota,hiace,124000,14900,full-size,clean,automatic,van,KZH1061023684XXXX,1995
excellent,United states,4 cylinders,diesel,4wd,7312680435,toyota,hiace van,124000,14900,full-size,clean,automatic,van,KZH1061023684XXXX,1995
excellent,United states,4 cylinders,diesel,fwd,7316053828,audi,a3 tdi,67000,15995,compact,clean,automatic,sedan,WAUCJGFF4F1069174,2015
excellent,United states,4 cylinders,diesel,fwd,7314874284,chevrolet,cruze limited,142139,6700,mid-size,clean,automatic,sedan,1G1P75SZXE7430208,2014
excellent,United states,4 cylinders,diesel,fwd,7309434125,volkswagen,golf,67700,14100,compact,clean,manual,hatchback,3VWRA7AU5FM062382,2015
excellent,United states,4 cylinders,diesel,fwd,7316013550,volkswagen,golf tdi,130000,7900,compact,clean,automatic,hatchback,WVWDM7AJ9BW240153,2011
excellent,United states,4 cylinders,diesel,fwd,7310327960,volkswagen,jetta,145000,3988,mid-size,clean,automatic,sedan,3VWRT81K56M817092,2006
excellent,United states,4 cylinders,diesel,fwd,7316173446,volkswagen,jetta sedan,40380,11995,compact,clean,automatic,sedan,3VWLL7AJ0DM395303,2013
excellent,United states,4 cylinders,diesel,fwd,7316174084,volkswagen,jetta sedan,86543,7995,compact,clean,manual,sedan,3VWST71K96M751951,2006
excellent,United states,4 cylinders,diesel,fwd,7316359322,volkswagen,jetta sportwagen tdi,150897,7900,mid-size,clean,automatic,wagon,3VWPL7AJ8BM618556,2011
excellent,United states,4 cylinders,diesel,fwd,7315562795,volkswagen,jetta tdi,124000,7500,full-size,clean,automatic,sedan,3VWLL7AJ7DM351749,2013
excellent,United states,4 cylinders,diesel,fwd,7303311940,volkswagen,jetta tdi,76391,8995,mid-size,clean,automatic,sedan,3VWLL7AJ0CM359268,2012
excellent,United states,4 cylinders,diesel,fwd,7315538318,volkswagen,new beetle coupe,147460,4995,sub-compact,clean,automatic,coupe,3VWRR31C26M403293,2006
excellent,United states,4 cylinders,diesel,fwd,7314451108,volkswagen,new beetle gls,139000,4995,compact,clean,manual,hatchback,3VWCR31C64M417667,2004
